1,Bitcoin1BTC,$47150.78,5.36%,18639343 BTC,
2,Ethereum2ETH,$1505.08,5.80%,114831760 ETH,
3,Cardano3ADA,$1.27,10.63%,31112484646 ADA,
4,Binance Coin4BNB,$228.76,7.74%,154532785 BNB,
5,Tether5USDT,$0.9993,0.09%,35010178109 USDT,
6,Polkadot6DOT,$31.75,4.69%,913465081 DOT,
7,XRP7XRP,$0.4384,5.82%,45404028640 XRP,
8,Litecoin8LTC,$176.20,9.02%,66549813 LTC,
9,Chainlink9LINK,$26.23,3.88%,409509556 LINK,
10,Bitcoin Cash10BCH,$496.13,6.01%,18665244 BCH,
,StellarXLM,$0.39,-4.10%,,
,USD CoinUSDC,$1.00,-0.05%,,
,UniswapUNI,$23.85,-4.51%,,
,DogecoinDOGE,$0.05,-4.32%,,
,Wrapped BitcoinWBTC,$47150.48,-5.27%,,
,NEMXEM,$0.51,-1.64%,,
,AaveAAVE,$337.15,-9.11%,,
,SolanaSOL,$14.97,-3.11%,,
,CosmosATOM,$18.41,-5.86%,,
,Crypto.com CoinCRO,$0.16,-5.85%,,
,MoneroXMR,$208.53,1.38%,,
,EOSEOS,$3.66,-6.77%,,
,Bitcoin SVBSV,$182.34,-4.80%,,
,TRONTRX,$0.05,-5.63%,,
,IOTAMIOTA,$1.12,-6.46%,,
,THETATHETA,$3.10,-1.65%,,
,Huobi TokenHT,$16.15,-11.04%,,
,TezosXTZ,$3.60,-3.55%,,
,NeoNEO,$38.47,-6.31%,,
,FTX TokenFTT,$28.45,-7.44%,,
,VeChainVET,$0.04,-5.80%,,
,TerraLUNA,$6.20,-5.74%,,
,Binance USDBUSD,$1.00,-0.01%,,
,DaiDAI,$1.00,-0.03%,,
,SynthetixSNX,$19.18,-8.18%,,
,The GraphGRT,$1.76,-6.81%,,
,DashDASH,$215.73,-7.55%,,
,AvalancheAVAX,$26.75,-8.45%,,
,MakerMKR,$2053.16,-6.85%,,
,AlgorandALGO,$1.00,-8.46%,,
,ElrondEGLD,$118.69,-2.30%,,
,SushiSwapSUSHI,$15.92,0.77%,,
,UNUS SED LEOLEO,$1.96,-6.75%,,
,FilecoinFIL,$35.25,-1.48%,,
,CompoundCOMP,$410.30,-5.18%,,
,KusamaKSM,$222.07,-7.01%,,
,DecredDCR,$125.65,-12.48%,,
,Voyager TokenVGX,$6.62,-0.63%,,
,FantomFTM,$0.57,-20.97%,,
,PancakeSwapCAKE,$11.78,-10.33%,,
,ZcashZEC,$121.35,-9.56%,,
,RavencoinRVN,$0.16,-10.03%,,
,NEAR ProtocolNEAR,$4.36,-4.60%,,
,BitTorrentBTT,$0.00,-8.75%,,
,Ethereum ClassicETC,$11.00,-5.29%,,
,ZilliqaZIL,$0.11,-5.85%,,
,yearn.financeYFI,$32255.75,-5.43%,,
,CelsiusCEL,$4.83,-3.90%,,
,UMAUMA,$20.20,-6.40%,,
,THORChainRUNE,$4.73,-4.25%,,
,NexoNEXO,$2.01,-5.64%,,
,RenREN,$1.06,-10.57%,,
,RevainREV,$0.01,-0.52%,,
,0xZRX,$1.35,-10.44%,,
,WavesWAVES,$9.63,-6.84%,,
,OKBOKB,$16.75,-4.70%,,
,ICONICX,$1.56,-7.88%,,
,PolygonMATIC,$0.19,-9.07%,,
,Hedera HashgraphHBAR,$0.12,-11.56%,,
,SwissBorgCHSB,$0.90,-3.81%,,
,renBTCRENBTC,$47150.56,-5.11%,,
,DigiByteDGB,$0.06,-6.64%,,
,StacksSTX,$1.05,-2.61%,,
,Basic Attention TokenBAT,$0.51,-2.28%,,
,CeloCELO,$4.01,-7.24%,,
,OntologyONT,$0.91,-10.05%,,
,BancorBNT,$5.13,-6.19%,,
,HUSDHUSD,$1.00,-0.14%,,
,NanoNANO,$5.19,-9.93%,,
,IOSTIOST,$0.04,-9.57%,,
,Paxos StandardPAX,$1.00,-0.00%,,
,Bitcoin BEP2BTCB,$47166.94,-4.79%,,
,1inch1INCH,$4.65,5.61%,,
,TerraUSDUST,$1.00,-0.08%,,
,LoopringLRC,$0.53,-7.50%,,
,OMG NetworkOMG,$4.53,-6.94%,,
,Pundi XNPXS,$0.00,-7.90%,,
,HorizenZEN,$47.66,-10.94%,,
,QtumQTUM,$5.22,-4.81%,,
,Enjin CoinENJ,$0.59,-4.74%,,
,HoloHOT,$0.00,-8.27%,,
,Curve DAO TokenCRV,$2.05,-5.57%,,
,SiacoinSC,$0.01,-7.31%,,
,VenusXVS,$54.24,-13.31%,,
,Bitcoin GoldBTG,$26.72,-6.66%,,
,Flow (Dapper Labs)FLOW,$20.05,-4.72%,,
,Reserve RightsRSR,$0.05,5.86%,,
,Theta FuelTFUEL,$0.08,0.06%,,
,DODODODO,$4.16,-11.68%,,
,QuantQNT,$33.68,-6.83%,,
